fips,unemp,extra_column
13187,4.9,97
13189,7.2,71
13191,5.8,4
13193,8.3,86
13195,5.0,4
13197,7.4,36
13199,6.8,89
13201,5.5,88
13205,6.6,23
13207,5.2,14
13209,7.6,23
13211,5.0,15
13213,6.9,68
13215,6.9,21
13217,6.0,3
13219,4.1,82
13221,4.9,27
13223,4.6,43
13225,6.9,69
13227,4.9,10
13229,5.4,57
13231,5.2,11
13233,6.1,10
13235,5.9,11
13237,7.0,33
13239,7.4,66
13241,5.9,30
13243,8.5,22
13245,6.7,4
13247,5.7,39
13249,6.4,72
13251,7.6,55
13253,7.9,4
13255,6.8,76
13257,5.9,62
13259,6.6,87
13261,7.7,55
13263,6.7,57
13265,6.5,30
13267,5.4,73
13269,7.2,3
13271,8.6,38
13273,6.6,27
13275,6.4,65
13277,5.5,86
13279,7.8,29
13281,6.7,94
13283,7.8,23
13285,5.1,63
13287,6.6,11
13289,8.7,32
13291,4.7,5
13293,6.5,66
13295,5.6,50
13297,4.9,2
13299,5.5,95
13301,7.0,37
13303,6.4,85
13305,6.7,92
13307,8.8,9
13309,9.1,38
13311,4.6,66
13313,5.9,81
13315,7.0,60
13317,6.3,7
13319,6.3,81
13321,5.9,2
15001,3.8,27
15003,2.8,47
15007,3.3,10
15009,3.2,56
16001,3.3,64
16003,7.1,84
16005,3.5,86
16007,4.6,68
16009,6.2,35
16011,3.6,14
16013,3.2,93
16015,5.5,85
16017,5.5,8
16019,3.2,26
16021,5.3,30
16023,4.1,29
16025,3.8,57
16027,4.4,16
16029,3.7,22
16031,3.0,51
16033,3.5,57
16035,7.5,66
16037,5.2,23
16039,4.2,75
16041,3.1,95
16043,3.4,3
16045,4.7,91
16047,3.1,11
16049,5.7,45
16051,3.1,41
16053,3.1,97
16055,4.8,48
16057,3.3,13
16059,6.3,28
16061,6.5,44
16063,4.5,68
16065,2.5,10
16067,3.3,72
16069,3.4,94
16071,3.7,60
16073,4.5,8
16075,4.7,92
16077,4.2,42
16079,7.3,42
16081,3.2,18
16083,3.4,20
16085,5.6,20
16087,5.7,82
17001,4.8,92
17003,9.2,35
17005,5.1,67
17007,6.3,5
17009,3.4,93
17011,6.1,54
17013,6.3,23
17015,5.7,78
17017,5.6,79
17019,5.1,52
17021,6.3,74
17023,5.9,96
17025,6.8,100
17027,4.5,92
17029,5.9,84
17031,6.2,24
17033,6.2,42
17035,5.2,41
17037,5.4,50
17039,5.7,80
17041,4.7,39
17043,4.8,75
17045,6.0,61
17047,5.8,81
17049,4.7,31
17051,6.7,35
17053,5.5,17
17055,8.1,53
17057,7.4,95
17059,7.6,19
17061,5.9,96
17063,6.8,89
17065,6.3,66
17067,6.6,75
17069,9.8,76
17071,6.2,50
17073,6.1,46
17075,5.5,65
17077,5.4,46
17079,6.3,59
17081,6.5,62
17083,5.8,68
17085,5.4,21
17087,8.6,9
17089,5.5,84
17091,6.4,98
17093,5.2,22
17095,6.1,79
17097,5.2,100
17099,6.7,49
17101,7.5,50
17103,5.1,3
17105,5.5,37
17107,5.3,67
17109,6.3,59
17111,5.3,38
17113,5.1,34
17115,6.6,16
17117,6.0,1
17119,5.9,6
17121,6.4,69
17123,6.6,39
17125,7.1,18
17127,7.0,46
17129,4.6,48
17131,6.2,98
17133,4.1,43
17135,7.1,37
17137,4.9,68
17139,4.6,29
17141,5.9,7
17143,6.8,70
17145,7.1,23
17147,5.0,95
17149,5.1,78
17151,7.0,37
17153,8.8,36
17155,5.6,18
17157,5.0,94
17159,6.0,1
17161,6.3,57
17163,6.1,83
17165,8.6,78
17167,4.9,11
17169,5.8,82
17171,5.6,24
17173,5.8,35
17175,7.2,80
17177,5.8,89
17179,6.3,93
17181,7.4,93
17183,7.2,13
17185,6.4,67
17187,5.3,54
17189,3.8,61
17191,8.6,70
17193,6.6,36
17195,5.8,71
17197,6.1,5
17199,6.2,77
17201,6.6,63
17203,5.4,24
18001,3.6,91
18003,4.3,2
18005,3.4,83
18007,4.2,59
18009,5.4,11
18011,3.4,50
18013,4.0,6
18015,4.2,26
18017,4.7,15
18019,4.1,43
18021,4.7,25
18023,3.9,47
18025,5.6,53
18027,3.6,16
18029,4.7,34
18031,3.6,50
18033,3.9,90
18035,5.2,61
18037,3.1,83
18039,3.5,72
18041,5.8,89
18043,4.1,28
18045,5.8,96
18047,4.3,24
18049,4.7,10
18051,3.7,51
18053,5.0,10
18055,6.6,61
18057,3.2,42
18059,3.8,81
18061,4.2,95
18063,3.5,66
18065,4.6,93
18067,4.7,90
18069,4.1,23
18071,3.7,81
18073,5.3,63
18075,4.6,59
18077,4.7,80
18079,4.8,2
18081,3.6,90
18083,4.4,40
18085,3.7,12
18087,3.4,88
18089,6.3,81
18091,5.9,61
18093,5.7,1
18095,5.0,91
18097,4.4,86
18099,3.8,58
18101,4.2,83
18103,4.7,11
18105,4.6,32
18107,3.9,92
18109,4.2,30
18111,5.6,49
18113,4.1,12
18115,4.9,95
18117,5.1,86
18119,5.5,13
18121,5.3,80
18123,4.6,85
18125,4.4,22
18127,5.1,16
18129,4.0,44
18131,4.6,3
18133,4.5,43
18135,4.5,92
18137,4.6,2
18139,3.8,79
18141,4.5,95
18143,4.8,38
18145,4.0,30
18147,4.1,11
18149,5.4,41
18151,3.7,44
18153,5.9,37
18155,4.9,11
18157,4.0,58
18159,3.9,69
18161,4.0,74
18163,4.1,90
18165,6.6,78
18167,5.4,41
18169,4.3,57
18171,4.9,81
18173,4.1,80
18175,4.5,33
18177,4.8,28
18179,3.6,99
18181,4.0,85
18183,3.9,83
19001,3.0,51
19003,2.7,66
19005,5.0,65
19007,4.8,84
19009,3.3,2
19011,3.6,43
19013,4.7,98
19015,2.8,16
19017,3.7,67
19019,4.2,29
19021,3.6,84
19023,4.4,2
19025,3.9,31
19027,2.6,90
19029,3.3,1
19031,3.4,84
19033,3.7,98
19035,3.7,72
19037,4.5,84
19039,3.4,54
19041,3.9,50
19043,4.3,92
19045,5.0,26
19047,5.6,99
19049,2.7,67
19051,4.3,27
19053,3.3,66
19055,3.5,56
19057,5.0,78
19059,4.4,1
19061,3.6,29
19063,4.3,86
19065,4.5,20
19067,3.7,13
19069,3.5,44
19071,3.3,83
19073,3.2,24
19075,3.5,59
19077,3.6,75
19079,3.8,54
19081,2.7,41
19083,4.0,100
19085,3.4,15
19087,3.6,15
19089,3.7,73
19091,2.9,87
19093,2.6,37
19095,3.1,61
19097,4.2,84
19099,3.6,8
19101,3.7,64
19103,2.6,83
19105,4.3,15
19107,4.4,16
19109,2.7,90
19111,6.2,88
19113,3.7,72
19115,4.0,54
19117,3.2,11
19119,2.1,35
19121,3.6,81
19123,3.8,39
19125,3.1,63
19127,4.9,5
19129,3.7,34
19131,2.7,25
19133,4.2,65
19135,4.7,1
19137,3.6,97
19139,3.9,36
19141,2.8,31
19143,2.7,26
19145,5.1,99
19147,3.2,71
19149,2.6,66
19151,2.9,91
19153,3.5,61
19155,3.4,12
19157,3.5,94
19159,3.5,55
19161,3.1,36
19163,4.6,72
19165,3.0,2
19167,2.3,57
19169,2.4,27
19171,4.2,10
19173,3.0,73
19175,3.8,19
19177,3.7,37
19179,5.9,96
19181,3.2,43
19183,3.0,4
19185,3.9,63
19187,4.0,5
19189,3.5,91
19191,3.6,81
19193,3.6,74
19195,3.5,77
19197,4.2,85
20001,5.9,56
20003,4.5,31
20005,6.4,99
20007,4.1,6
20009,4.7,9
20011,5.1,49
20013,3.9,36
20015,4.3,24
20017,3.7,5
20019,5.5,11
20021,4.6,62
20023,2.9,42
20025,2.9,72
20027,4.5,63
20029,4.5,82
20031,6.3,3
20033,3.4,68
20035,4.6,7
20037,5.0,81
20039,4.2,72
20041,4.6,6
20043,4.1,23
20045,3.6,44
20047,3.1,5
20049,5.3,46
20051,3.2,31
20053,4.2,7
20055,3.2,42
20057,3.3,6
20059,4.3,69
20061,5.8,35
20063,2.6,44
20065,5.0,24
20067,3.8,15
20069,2.3,55
20071,2.3,95
20073,5.2,81
20075,2.7,49
20077,3.9,98
20079,4.4,27
20081,2.7,24
20083,2.9,85
20085,3.6,2
20087,4.1,53
20089,4.7,100
20091,3.3,2
20093,3.3,57
20095,4.7,24
20097,2.9,69
20099,5.7,18
20101,3.4,69
20103,4.4,13
20105,3.8,12
20107,6.7,76
20109,2.8,89
20111,4.2,79
20113,3.3,3
20115,4.3,31
20117,3.2,4
20119,2.9,25
20121,4.3,16
20123,3.6,48
20125,6.4,26
20127,4.1,23
20129,4.1,61
20131,2.8,14
20133,7.5,18
20135,3.8,71
20137,2.6,17
20139,4.6,91
20141,3.7,71
20143,4.0,39
20145,3.6,37
20147,3.2,1
20149,3.5,48
20151,4.3,12
20153,2.6,37
20155,4.6,9
20157,2.9,19
20159,4.2,99
20161,3.3,63
20163,5.2,16
20165,4.2,29
20167,4.5,70
20169,3.8,39
20171,2.6,95
20173,4.8,84
20175,4.6,50
20177,4.1,18
20179,2.6,4
20181,3.5,68
20183,3.5,56
20185,4.1,87
20187,3.1,70
20189,4.4,39
20191,4.4,8
20193,2.9,59
20195,4.2,90
20197,3.8,92
20199,2.9,28
20201,3.5,82
20203,2.5,26
20205,6.4,78
20207,6.2,80
20209,5.7,15
21001,6.6,49
21003,4.2,42
21005,4.0,1
21007,8.6,38
21009,4.6,42
21011,7.2,89
21013,9.0,78
21015,3.8,70
21017,4.7,97
21019,8.1,27
21021,4.9,45
21023,6.0,75
21025,9.4,20
21027,6.0,40
21029,4.1,40
21031,5.3,13
21033,5.3,44
21035,4.5,76
21037,3.8,8
21039,5.9,52
21041,5.0,92
21043,10.2,89
21045,4.6,97
21047,6.0,86
21049,4.7,12
21051,9.6,48
21053,7.3,44
21055,5.0,23
21057,5.5,15
21059,4.5,77
21061,6.1,73
21063,10.9,68
21065,5.7,75
21067,3.5,86
21069,5.9,69
21071,10.9,46
21073,4.0,51
21075,6.8,10
21077,4.8,82
21079,4.7,22
21081,4.9,36
21083,6.0,14
21085,6.4,87
21087,4.4,28
21089,8.6,33
21091,5.4,2
21093,4.4,44
21095,12.1,74
21097,4.6,82
21099,4.6,7
21101,4.7,33
21103,4.1,88
21105,5.6,70
21107,5.5,12
21109,7.5,66
21111,4.4,87
21113,3.8,25
21115,9.6,71
21117,4.1,17
21119,11.2,48
21121,7.9,82
21123,4.5,5
21125,6.1,14
21127,10.4,60
21129,9.2,39
21131,13.0,85
21133,11.9,78
21135,9.2,89
21137,6.0,29
21139,7.0,42
21141,4.2,72
21143,5.6,53
21145,5.7,19
21147,7.7,25
21149,4.8,69
21151,4.1,37
21153,18.8,13
21155,4.1,14
21157,5.6,73
21159,10.1,59
21161,6.1,50
21163,5.0,25
21165,8.4,85
21167,4.7,96
21169,4.5,89
21171,4.0,37
21173,6.3,98
21175,7.8,79
21177,7.0,41
21179,4.5,8
21181,5.4,57
21183,6.5,97
21185,3.4,81
21187,4.1,48
21189,9.4,46
21191,4.8,4
21193,10.5,22
21195,10.8,91
21197,7.0,69
21199,5.3,26
21201,5.9,71
21203,5.9,64
21205,5.5,88
21207,8.3,47
21209,3.7,56
21211,3.5,15
21213,4.4,55
21215,3.8,19
21217,5.1,89
21219,4.2,60
21221,5.6,31
21223,5.3,27
21225,6.7,52
21227,3.9,58
21229,4.1,85
21231,7.3,53
21233,5.9,81
21235,6.5,42
21237,9.7,34
21239,3.2,32
22001,7.4,94
22003,6.4,87
22005,4.9,38
22007,8.5,83
22009,7.1,6
22011,6.0,39
22013,7.7,36
22015,5.4,20
22017,6.6,100
22019,4.8,80
22021,7.6,90
22023,4.4,78
22025,9.3,50
22027,6.7,47
22029,8.3,73
22031,7.4,79
22033,5.1,20
22035,11.7,10
22037,5.7,58
22039,7.4,29
22041,9.1,48
22043,7.0,25
22045,9.4,34
22047,6.8,58
22049,5.7,39
22051,5.3,82
22053,6.0,93
22055,6.2,85
22057,6.3,43
22059,6.6,38
22061,6.5,14
22063,5.1,28
22065,9.0,17
22067,9.8,97
22069,7.0,45
22071,5.9,44
22073,6.1,24
22075,5.3,81
22077,6.5,64
22079,6.1,28
22081,6.1,6
22083,7.4,22
22085,6.9,22
22087,6.1,85
22089,5.3,97
22091,7.6,76
22093,7.5,45
22095,6.8,29
22097,8.1,69
22099,7.8,97
22101,9.4,29
22103,5.0,24
22105,6.7,97
22107,9.9,12
22109,7.0,77
22111,6.5,6
22113,7.7,38
22115,7.3,82
22117,7.0,17
22119,8.6,39
22121,5.3,86
22123,11.9,3
22125,5.1,50
22127,7.8,63
23001,3.6,4
23003,5.7,43
23005,2.9,79
23007,4.4,37
23009,4.7,29
23011,3.6,2
23013,3.6,95
23015,3.8,12
23017,4.8,21
23019,4.4,99
23021,5.4,96
23023,3.0,76
23025,5.8,27
23027,4.2,70
23029,6.2,21
23031,3.4,57
24001,6.1,44
24003,3.7,2
24005,4.5,39
24009,3.8,17
24011,4.7,14
24013,3.5,27
24015,5.1,68
24017,4.2,24
24019,6.0,8
24021,3.7,52
24023,5.5,68
24025,4.1,84
24027,3.2,56
24029,4.7,56
24031,3.3,77
24033,4.4,22
24035,3.8,97
24037,4.1,7
24039,7.0,17
24041,4.1,61
24043,4.9,82
24045,6.0,3
24047,9.0,7
24510,6.3,33
25001,4.7,50
25003,4.3,37
25005,4.7,78
25007,5.0,69
25009,3.8,63
25011,3.3,21
25013,5.0,73
25015,3.3,95
25017,3.0,17
25019,4.2,5
25021,3.2,53
25023,3.9,65
25025,3.4,1
25027,3.9,27
26001,7.4,10
26003,8.0,45
26005,3.7,60
26007,5.7,83
26009,6.8,66
26011,8.1,23
26013,7.9,70
26015,3.8,37
26017,5.2,91
26019,6.4,31
26021,4.8,6
26023,4.6,71
26025,4.6,15
26027,4.6,82
26029,5.3,45
26031,9.0,4
26033,7.4,75
26035,7.2,78
26037,3.6,63
26039,7.4,47
26041,6.3,88
26043,5.2,77
26045,4.0,15
26047,6.2,83
26049,5.4,34
26051,6.8,42
26053,6.5,7
26055,4.1,74
26057,5.0,19
26059,4.9,54
26061,5.9,85
26063,5.0,100
26065,4.1,98
26067,4.1,50
26069,7.1,35
26071,6.5,32
26073,4.5,24
26075,4.7,34
26077,3.9,32
26079,6.9,32
26081,3.4,40
26083,8.4,8
26085,7.3,53
26087,6.5,35
26089,4.7,70
26091,4.5,5
26093,4.2,83
26095,6.5,48
26097,9.4,47
26099,5.3,18
26101,6.3,72
26103,5.6,41
26105,5.6,61
26107,5.4,26
26109,5.6,98
26111,4.5,33
26113,5.7,19
26115,4.3,86
26117,5.0,63
26119,9.7,63
26121,5.2,70
26123,4.7,69
26125,4.2,37
26127,7.1,45
26129,7.5,21
26131,8.3,83
26133,5.5,85
26135,7.2,62
26137,5.7,79
26139,3.2,2
26141,9.2,50
26143,8.1,85
26145,5.1,31
26147,6.2,60
26149,4.0,26
26151,6.0,100
26153,9.1,63
26155,5.1,94
26157,6.1,86
26159,5.5,24
26161,3.4,76
26163,6.4,34
26165,5.6,16
27001,7.0,6
27003,3.8,53
27005,4.7,44
27007,5.3,81
27009,4.5,31
27011,4.9,36
27013,3.2,31
27015,4.1,37
27017,5.4,13
27019,3.3,74
27021,6.7,24
27023,4.5,19
27025,4.4,92
27027,3.5,71
27029,9.6,82
27031,4.6,71
27033,7.3,60
27035,5.1,53
27037,3.4,76
27039,3.8,40
27041,3.5,42
27043,4.4,74
27045,4.1,4
27047,3.9,38
27049,3.8,44
27051,4.7,10
27053,3.4,74
27055,4.0,97
27057,6.5,72
27059,4.7,5
27061,8.7,56
27063,4.5,58
27065,6.6,52
27067,3.8,45
27069,4.7,45
27071,8.5,36
27073,4.3,83
27075,6.5,4
27077,4.7,90
27079,4.9,44
27081,3.6,16
27083,3.6,41
27085,4.5,89
27087,5.7,92
27089,7.4,50
27091,4.2,3
27093,4.5,24
27095,6.0,19
27097,5.7,1
27099,3.2,13
27101,4.8,56
27103,2.8,71
27105,3.8,46
27107,4.9,8
27109,3.0,72
27111,4.4,74
27113,5.8,74
27115,5.9,16
27117,3.9,8
27119,4.4,79
27121,3.6,13
27123,3.6,60
27125,7.2,50
27127,4.1,5
27129,5.3,9
27131,3.5,46
27133,2.3,4
27135,5.1,10
27137,5.8,33
27139,3.3,34
27141,4.1,23
27143,4.3,32
27145,3.8,4
27147,3.6,21
27149,3.0,67
27151,5.3,87
27153,4.7,44
27155,3.7,3
27157,3.7,32
27159,6.0,32
27161,4.3,56
27163,3.4,82
27165,5.0,92
27167,3.3,8
27169,3.6,64
27171,3.9,24
27173,3.9,30
28001,8.3,34
28003,5.2,45
28005,7.4,47
28007,6.7,71
28009,6.7,67
28011,7.3,47
28013,5.4,51
28015,7.5,74
28017,6.6,1
28019,5.7,74
28021,11.4,31
28023,6.8,25
28025,8.1,9
28027,8.8,97
28029,6.5,98
28031,5.5,25
28033,4.2,83
28035,5.7,64
28037,7.2,21
28039,7.4,49
28041,7.3,73
28043,5.2,21
28045,6.1,89
28047,5.5,98
